,danceability,tempo,loudness,mode,track_album_name,valence
202,0.667,138009.0,-6391.0,1.0,Life in Process,0.171
203,0.787,126021.0,-9417.0,0.0,Bipolar Star (2018 Remixes),0.0785
204,0.738,128001.0,-5716.0,0.0,Call It Techno EP,0.367
205,0.608,130002.0,-7102.0,1.0,Radical Cutting Methods,0.0519
206,0.875,124999.0,-5.71,1.0,The Solution,0.346
207,0.66,129004.0,-12517.0,1.0,Dia Cero,0.0486
208,0.703,127999.0,-7562.0,0.0,Embody Paradox,0.0793
209,0.725,128006.0,-8798.0,1.0,Stay With Me,0.134
210,0.654,134973.0,-6799.0,0.0,Hypnotic Energy Remixes,0.0596
211,0.716,138014.0,-7105.0,0.0,Journey Inside Yourself,0.136
212,0.666,125001.0,-6728.0,1.0,Moments,0.104
213,0.689,140079.0,-5646.0,1.0,Oracle,0.161
214,0.761,126031.0,-7694.0,0.0,Alma Mater,0.162
215,0.82,125001.0,-10306.0,1.0,FEAR,0.307
216,0.763,119993.0,-9008.0,1.0,Samadhi,0.409
217,0.619,124996.0,-8004.0,1.0,Space,0.0518
218,0.664,130007.0,-8237.0,0.0,Inside The Hidden Room,0.0643
219,0.684,124989.0,-10.28,1.0,Stil vor Talent Berlin: Alexanderplatz,0.037
220,0.665,142003.0,-7458.0,1.0,Origin 4 Compiled by Regan,0.101
221,0.686,126989.0,-5607.0,0.0,Tolerance For The Absurd,0.0357
222,0.687,137985.0,-7699.0,1.0,Universe Inside Me,0.055
223,0.764,124004.0,-8007.0,0.0,Wake Turbulence (Koen Groeneveld Remake),0.235
224,0.679,138034.0,-6391.0,0.0,Why,0.0994
225,0.803,127001.0,-7493.0,0.0,Synergy,0.0364
226,0.641,124015.0,-9887.0,1.0,Karmaya & Yoru,0.0364
227,0.715,122989.0,-9.55,1.0,Can't Hide,0.362
228,0.783,126003.0,-5937.0,0.0,Asteroid,0.477
229,0.802,125991.0,-9204.0,0.0,Build Your Empire,0.0391
230,0.789,122963.0,-7516.0,0.0,Chemicals,0.18
231,0.754,124.0,-9758.0,0.0,Trident,0.0269
232,0.801,126017.0,-11589.0,1.0,Greyzone,0.0769
233,0.84,122002.0,-7097.0,0.0,Mind Palace,0.33
234,0.763,124988.0,-7041.0,1.0,Best of Stil vor Talent 2017,0.0843
235,0.705,123986.0,-9715.0,0.0,The Trumpeteer,0.212
236,0.659,126995.0,-11595.0,1.0,Suzi in Transe,0.109
237,0.691,123005.0,-9434.0,1.0,Kitties on Trance,0.0435
238,0.708,128031.0,-1262.0,0.0,BARRACA (feat. MC Pikachu),0.929
239,0.777,127939.0,-2612.0,1.0,Best Friend's Ass (Dimitri Vegas & Like Mike Remix),0.831
240,0.612,138009.0,-3912.0,0.0,"A State Of Trance, Ibiza 2018 (Mixed by Armin van Buuren)",0.179
241,0.803,128003.0,-10798.0,1.0,C,0.216
242,0.639,142861.0,-8865.0,1.0,The Best 1991-2001,0.038
243,0.673,194.05,-9856.0,1.0,Mass Manipulation,0.261
244,0.615,81005.0,-9413.0,1.0,"Video Game Remixes, Vol. 3",0.19
245,0.772,122996.0,-11207.0,1.0,Reflections,0.385
246,0.611,150008.0,-5107.0,1.0,Hava (feat. Dr Phunk),0.0808
247,0.807,122.0,-11441.0,1.0,Last Call (Karmon Remix),0.0355
248,0.77,124026.0,-6762.0,1.0,Voyager,0.424
249,0.666,122997.0,-8449.0,1.0,Meraki,0.608
250,0.733,121004.0,-9.14,0.0,Phantasy,0.0357
251,0.35,130006.0,-6.03,0.0,Phone Down (Club Mix),0.234
252,0.497,127975.0,-6716.0,1.0,See The End,0.0884
253,0.761,125003.0,-8395.0,1.0,Rafael Cerato | Transcode,0.0738
254,0.754,131002.0,-8237.0,1.0,Reforms EP,0.0372
255,0.805,125995.0,-10887.0,0.0,Velocity,0.0391
256,0.777,125996.0,-5075.0,1.0,Rolling - EP,0.594
257,0.563,127968.0,-3958.0,0.0,Another Love (Dimitri Vangelis & Wyman Remix),0.336
258,0.494,128037.0,-3877.0,1.0,Instagram (Bassjackers Remix),0.291
259,0.597,130002.0,-4306.0,1.0,Jump (Armin van Buuren Remix),0.141
260,0.683,149947.0,-2356.0,1.0,Nah Nah,0.35
261,0.58,129971.0,-5954.0,0.0,Find Tomorrow (Ocarina),0.128
262,0.565,139957.0,-5221.0,0.0,The House Of House,0.0764
263,0.52,128.02,-8782.0,1.0,Avalanche,0.231
264,0.675,127001.0,-4673.0,1.0,Hangover,0.377
265,0.677,128.0,-3513.0,0.0,Higher Place,0.2
266,0.441,128079.0,-5282.0,1.0,Invincible (Till The Day We Die),0.154
267,0.635,125002.0,-4753.0,1.0,Together,0.414
268,0.824,127981.0,-3538.0,0.0,Ah Yeah,0.762
269,0.645,130074.0,-4766.0,0.0,All Aboard (Dimitri Vegas & Like Mike Edit),0.32
270,0.788,124.02,-6419.0,0.0,All Night,0.905
271,0.575,155.05,-5663.0,1.0,All Night (feat. Trevor Jackson),0.459
272,0.657,125983.0,-3842.0,0.0,All Over The World,0.794
273,0.722,122954.0,-5335.0,0.0,Always On My Mind (The Remixes),0.614
274,0.539,94747.0,-9895.0,1.0,International Battle Of The Year 2011 - The Soundtrack,0.392
275,0.675,128007.0,-6.36,1.0,Animals,0.0376
276,0.734,101943.0,-7292.0,1.0,Paper Crowns,0.256
277,0.526,129.91,-6412.0,0.0,Hardwell Presents Revealed Vol. 5,0.0383
278,0.355,105197.0,-627.0,0.0,AVA,0.0395
279,0.48,149.97,-3351.0,1.0,Back To You,0.283
280,0.566,130003.0,-5583.0,1.0,Back To You (Olly James Remix),0.301
281,0.701,125068.0,-5.95,1.0,BAD!,0.316
282,0.772,112032.0,-7031.0,1.0,Beach House (Ashworth Remix),0.403
283,0.647,127992.0,-3548.0,0.0,Better When You're Gone,0.409
284,0.766,112.02,-5.01,0.0,Abbot Kinney,0.154
285,0.389,121323.0,-2032.0,1.0,Bittersweet (ft. Quarterback) [Remixes],0.441
286,0.612,127909.0,-4925.0,0.0,Blame,0.346
287,0.828,126002.0,-3725.0,0.0,Body Pop,0.586
288,0.658,120047.0,-5735.0,1.0,Bones (feat. OneRepublic),0.508
289,0.738,127997.0,-2622.0,1.0,Booyah,0.499
290,0.586,127983.0,-5118.0,0.0,Born To Rage,0.219
291,0.596,150073.0,-4813.0,1.0,Bounce (feat. Snoop Dogg),0.416
292,0.746,127991.0,-1631.0,1.0,Bounce Generation,0.27
293,0.738,128069.0,-4781.0,1.0,BYLAW EP,0.483
294,0.279,127295.0,-4.62,0.0,Break The Silence,0.104
295,0.693,100.08,-7201.0,1.0,Things I've Learned,0.224
296,0.608,122132.0,-4296.0,0.0,Bug A Boo,0.564
297,0.696,110061.0,-4504.0,0.0,Can't Bring Me Down,0.374
298,0.527,163007.0,-2915.0,1.0,Can't Save Me (feat. Kazi),0.745
299,0.447,125655.0,-4721.0,0.0,Carry On (Nicky Romero Remix),0.437
300,0.704,127997.0,-3095.0,1.0,Cascade (Original Mix),0.0723
301,0.497,127929.0,-2859.0,1.0,Chasing Time,0.481
302,0.735,128038.0,-5503.0,1.0,Chuck Norris,0.794
303,0.765,125988.0,-7283.0,1.0,Cinderella (Retrovision Remix),0.458
304,0.577,129974.0,-2801.0,0.0,Colours (Kanallia Remix),0.263
305,0.642,123.97,-6413.0,0.0,Coming Home,0.503
306,0.66,128004.0,-3876.0,1.0,Crypto,0.369
307,0.857,114986.0,-7912.0,1.0,Dance With You,0.814
308,0.564,127932.0,-6066.0,1.0,Daydreams,0.248
309,0.554,129328.0,-4199.0,0.0,Deal Breaker,0.166
310,0.685,104979.0,-2778.0,0.0,Distance,0.472
311,0.866,127996.0,-4.55,1.0,Do What You Do,0.683
312,0.674,144039.0,-4876.0,1.0,Paper Crowns,0.826
313,0.739,125965.0,-6717.0,0.0,Don't Leave Me Alone (feat. Anne-Marie) [Oliver Heldens Remix],0.155
314,0.597,126002.0,-3219.0,0.0,Don't Tell Me,0.575
315,0.563,127255.0,-5922.0,0.0,Done (R3hab Remix),0.298
316,0.689,123982.0,-3336.0,1.0,Double Double,0.415
317,0.508,126017.0,-4466.0,1.0,Dreamer (Remixes),0.179
318,0.621,127.96,-6475.0,0.0,Drop It,0.3
319,0.769,127.97,-0.57,1.0,Hardwell presents Revealed Vol. 10,0.237
320,0.344,128.07,-5.84,0.0,Dynamite,0.205
321,0.51,128132.0,-3387.0,0.0,Easy,0.484
322,0.639,137982.0,-2026.0,1.0,Eins Zwei,0.133
323,0.657,127987.0,-4366.0,1.0,Encoded,0.304
324,0.684,123991.0,-4477.0,1.0,Enough (with Shoffy),0.583
325,0.754,127991.0,-4391.0,1.0,Ensemble,0.541
326,0.536,128087.0,-2028.0,0.0,Epic,0.133
327,0.634,128024.0,-2893.0,0.0,F*CK (Dimitri Vegas & Like Mike Edit),0.273
328,0.628,159965.0,-7041.0,0.0,Face My Fears,0.44
329,0.627,127977.0,-4317.0,1.0,Fade Away,0.366
330,0.672,128009.0,-6566.0,0.0,Faith,0.67
331,0.692,120011.0,-4666.0,1.0,Fallin' (feat. Twan Ray),0.411
332,0.779,128025.0,-6811.0,1.0,Fat Sumo,0.148
333,0.715,128037.0,-3664.0,1.0,Feed The Dada,0.441
334,0.88,127907.0,-2545.0,0.0,Five Hours,0.575
335,0.751,138.0,-6654.0,0.0,Swipe Me,0.399
336,0.6,126056.0,-4612.0,1.0,Found Love (feat. Lovespeake),0.641
337,0.699,126035.0,-2639.0,0.0,Get Up EP,0.202
338,0.554,126132.0,-4808.0,0.0,Friday (feat. JGUAR),0.421
339,0.741,127.98,-4347.0,0.0,Get Up,0.629
340,0.544,126.06,-4917.0,0.0,Giant (Robin Schulz Remix),0.491
341,0.807,122015.0,-4311.0,0.0,Giant (with Rag'n'Bone Man),0.606
342,0.715,128024.0,-6.4,0.0,Glitch,0.357
343,0.82,128007.0,-3711.0,1.0,Go Hard,0.0605
344,0.526,123.97,-8968.0,0.0,God Is A Dancer (Remixes),0.0396
345,0.536,128.02,-2387.0,1.0,Gold Skies,0.431
346,0.632,123997.0,-5.77,0.0,Gone Too Long,0.434
347,0.679,121.99,-6151.0,0.0,Gonna Be Alright (Remixes),0.49
348,0.545,95989.0,-6269.0,0.0,Good On Me (feat. Olivia Noelle),0.329
349,0.471,174012.0,-3047.0,1.0,Got You There,0.309
350,0.724,125983.0,-4508.0,0.0,Grapevine (The Remixes),0.697
351,0.598,138091.0,-2293.0,1.0,Grip,0.503
352,0.664,125943.0,-2055.0,0.0,Grip (Jay Pryor Remix),0.609
353,0.968,128022.0,-4772.0,1.0,Gypsy,0.467
354,0.623,123068.0,-5446.0,1.0,Happy Now (R3HAB Remix),0.539
355,0.578,104991.0,-4302.0,0.0,Hard Pass,0.519
356,0.601,128055.0,-4.52,1.0,Helicopter,0.0749
357,0.63,129985.0,-7881.0,1.0,Hell Yeah!,0.0372
358,0.59,126094.0,-2851.0,1.0,High Hopes (Don Diablo Remix),0.288
359,0.723,127965.0,-5749.0,0.0,2019 Remixed,0.201
360,0.586,124912.0,-6142.0,1.0,Hope,0.344
361,0.644,130048.0,-12649.0,1.0,Hot Steppa,0.347
362,0.727,128007.0,-3704.0,1.0,Hype (Remixes),0.477
363,0.699,159992.0,-3978.0,1.0,I Wanna Rave,0.787
364,0.338,194997.0,-3.74,1.0,Immortal,0.523
365,0.669,128002.0,-5508.0,0.0,MTV Ibiza 2012,0.303
366,0.8,127995.0,-3548.0,1.0,Indigo,0.417
367,0.775,127997.0,-3016.0,1.0,Jump,0.362
368,0.632,100264.0,-5742.0,1.0,Just You and I (R3HAB Remix),0.428
369,0.774,99973.0,-6904.0,1.0,Kinder Eyes (feat. Ryann),0.421
370,0.748,125021.0,-4396.0,1.0,King Of My Castle (Don Diablo Edit),0.559
371,0.648,127993.0,-2235.0,1.0,Kingdom,0.309
372,0.772,127976.0,-6718.0,1.0,Lambo,0.63
373,0.525,128055.0,-7727.0,0.0,Leave The World Behind,0.277
374,0.709,128005.0,-3768.0,0.0,Left Right,0.192
375,0.388,194956.0,-2274.0,0.0,Let The Music Take Control,0.175
376,0.685,128025.0,-5803.0,1.0,Lift Off!,0.449
377,0.723,128071.0,-3711.0,0.0,Lights Of Neon,0.402
378,0.751,125949.0,-4449.0,1.0,Like I Love You (Remixes),0.457
379,0.423,150978.0,-5877.0,0.0,Different World,0.467
380,0.504,127854.0,-6.81,0.0,Lions in the Wild,0.28
381,0.662,131026.0,-4115.0,1.0,DJ's Night Vol. 4,0.548
382,0.69,123992.0,-3543.0,0.0,Lost At Sea,0.374
383,0.567,125007.0,-3214.0,1.0,Lost Soul,0.341
