,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__n_estimators,params,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,split3_train_neg_root_mean_squared_error,split4_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error
77,77,"48,8868743419647","0,631355107750028","0,0782939434051514","0,00194911124455084",26,30,"{'model__max_depth': 26, 'model__n_estimators': 30}","-0,193731509455135","-0,192429358510456","-0,19057385626684","-0,19418287752071","-0,193481983863211",-0.19287991712327,"0,00128890025940503",2,"-0,098493290430375","-0,0970532357037388","-0,100848948827806","-0,0993339124244643","-0,100783894711461",-0.099302656419569,"0,00143534183303144","-0,155189805157435","-0,154556872766262","-0,154018870509649","-0,1571834330353","-0,155036418171217",-0.155197079927972,"0,00107419797362409",4,"-0,080241216731728","-0,078994315962871","-0,0818863251732606","-0,0806547153048097","-0,0817016123209342",-0.0806956370987207,"0,00105189260944286"
78,78,"16,9677163600922","0,450172714068947","0,0515933990478516","0,00146893825745122",27,10,"{'model__max_depth': 27, 'model__n_estimators': 10}","-0,198526992794864","-0,197930969674076","-0,194564897116493","-0,19759139610429","-0,197570153087003",-0.197236881755346,"0,00138002874227972",51,"-0,101532276920278","-0,100403262368518","-0,104257079586178","-0,104554372479989","-0,104490462400425",-0.103047490751078,"0,0017380323108576","-0,158682695152325","-0,15856737700849","-0,156034884199642","-0,159456777929146","-0,157581441546886",-0.158064635167298,"0,00117695998562827",29,"-0,0799141930389741","-0,0785730201396759","-0,0821189269126326","-0,0816784847460704","-0,082040866861474",-0.0808650983397654,"0,00139813865686774"
79,79,"33,8498455047607","0,267687471982171","0,0738817691802979","0,016221221590759",27,20,"{'model__max_depth': 27, 'model__n_estimators': 20}","-0,195474719837484","-0,194032230803165","-0,191907675765679","-0,194769493411669","-0,195067276062111",-0.194250279176022,"0,00126266845203922",17,"-0,097606381130978","-0,0963575474077186","-0,100452713712976","-0,0986654861967308","-0,0999048094802329",-0.0985973875857272,"0,0014936667825108","-0,156380773275371","-0,155521680358667","-0,154600337601626","-0,15748006104861","-0,156326231743157",-0.156061816805486,"0,000960284756371752",11,"-0,0786892075122804","-0,0775343614182617","-0,0807622097089222","-0,0790868227643439","-0,0802753229660546",-0.0792695848739726,"0,00115071093848135"
80,80,"51,4674280643463","0,642026264574412","0,090072774887085","0,0198858327425336",27,30,"{'model__max_depth': 27, 'model__n_estimators': 30}","-0,193939401951137","-0,192442739043866","-0,190722570058302","-0,193994294855345","-0,193445323700889",-0.192908865921908,"0,00122679348672558",5,"-0,0960716769580003","-0,0947938731244221","-0,0982933417760374","-0,0967221125186216","-0,0983288059903288",-0.0968419620734821,"0,00135052429021091","-0,155334785308395","-0,154570039681233","-0,153937795389833","-0,156737375052358","-0,155110591522372",-0.155138117390838,"0,000933867892306879",3,"-0,07813387005662","-0,077002376948342","-0,0796474212707412","-0,0783565543961324","-0,0795755703932392",-0.0785431586130149,"0,000986064551187291"
81,81,"17,617059803009","0,380193572294564","0,0538090229034424","0,0064677049684545",28,10,"{'model__max_depth': 28, 'model__n_estimators': 10}","-0,198331444944135","-0,197800766385541","-0,193530069490044","-0,198036304188527","-0,197548943289097",-0.197049505659469,"0,00177861751040542",44,"-0,0994456110083087","-0,0983453004654833","-0,101925693186593","-0,102316394237989","-0,10249268785437",-0.100905137350549,"0,00168739318718842","-0,158495163538262","-0,158396208640042","-0,155412545779573","-0,159662420132106","-0,157658780621075",-0.157925023742211,"0,00141060637478346",27,"-0,0779471743159638","-0,0766310040343275","-0,0800376590891147","-0,0797562169363838","-0,0801421971897986",-0.0789028503131177,"0,00138755961014377"
82,82,"35,1572066783905","0,705178154627375","0,0870513439178467","0,039022598470821",28,20,"{'model__max_depth': 28, 'model__n_estimators': 20}","-0,195232079350477","-0,193934971246351","-0,191379628943679","-0,19456352861769","-0,195003929683877",-0.194022827568415,"0,00139365896554379",14,"-0,0954337188352532","-0,0940242133081769","-0,0980925178485525","-0,0964178438471282","-0,097723217630775",-0.0963383022939772,"0,00149498285131893","-0,156109806107348","-0,15567601777432","-0,154289815367609","-0,157242466718062","-0,156359718868178",-0.155935564967104,"0,000968928808832499",8,"-0,0767526945975663","-0,0754919627778869","-0,0787161717447869","-0,077175387695918","-0,0783324687035607",-0.0772937371039437,"0,00115372509218083"
83,83,"51,556464099884","0,505511654321012","0,096815299987793","0,0288990531249781",28,30,"{'model__max_depth': 28, 'model__n_estimators': 30}","-0,193644684219137","-0,192347776915339","-0,190283981589284","-0,193985879422063","-0,193614049069324",-0.19277527424303,"0,00136486445239625",1,"-0,0938199517905874","-0,0925201769658883","-0,0960223277059343","-0,0943670117073151","-0,0961451994363228",-0.0945749335212096,"0,00137083466297315","-0,15501133426127","-0,154710256266866","-0,153621728700565","-0,156804391498537","-0,155097563954452",-0.155049054936338,"0,00102342827228073",2,"-0,0761510397428619","-0,0750256575445544","-0,077713719989381","-0,0763497126091927","-0,0776557525871047",-0.0765791764946189,"0,00100951284345949"
84,84,"18,0371599197388","0,316715423886747","0,0533944129943848","0,00296884988625011",29,10,"{'model__max_depth': 29, 'model__n_estimators': 10}","-0,198935876213987","-0,19787254383528","-0,194621367136612","-0,197976078667333","-0,1981532252064",-0.197511818211923,"0,00149262937733227",56,"-0,0977512593986553","-0,096628085108846","-0,0999658922013705","-0,100539311885266","-0,100704652961708",-0.0991178403111693,"0,00163243206231031","-0,158647865568126","-0,158172538196932","-0,155904363208869","-0,159709189251307","-0,158137713008008",-0.158114333846648,"0,00124226602714687",30,"-0,076380237528103","-0,0750170820393882","-0,0781657594796565","-0,0780074659684619","-0,0784840374009005",-0.077210916483302,"0,00131681359309022"
85,85,"35,5266548633575","0,358416529184338","0,0861439228057861","0,0317853312859118",29,20,"{'model__max_depth': 29, 'model__n_estimators': 20}","-0,19551271401034","-0,194339895910067","-0,191745137917562","-0,194859807488648","-0,195275084152274",-0.194346527895778,"0,00136036293081869",20,"-0,0935259036059113","-0,0920964319812676","-0,0958592955362375","-0,0945339944677681","-0,0959157626378004",-0.094386277645797,"0,00145014226624069","-0,156016580508724","-0,155749201566169","-0,154328232639639","-0,157506658065357","-0,156448502956677",-0.156009835147313,"0,00103234399812178",10,"-0,0750988723548558","-0,0737439278448384","-0,0766963542217389","-0,0754135123088724","-0,0767057288170751",-0.0755316791094761,"0,00110744756055185"
86,86,"52,0234150409699","2,66497421945455","0,0782485485076904","0,00851592977661916",29,30,"{'model__max_depth': 29, 'model__n_estimators': 30}","-0,193732008420197","-0,192591021591243","-0,190487928191374","-0,194144738214278","-0,193491163844843",-0.192889372052387,"0,00130415330582791",3,"-0,0918251287778776","-0,0905889841906215","-0,0938634857803408","-0,0923825376011668","-0,09420747017614",-0.0925735213052293,"0,00133182213296441","-0,154822652941205","-0,15462010396788","-0,15360649767771","-0,156930430801372","-0,154888699973061",-0.154973677072246,"0,0010819526781672",1,"-0,074487850018452","-0,0732983756113306","-0,0758008697690688","-0,0746125469892813","-0,0759206426438879",-0.0748240570064041,"0,000963549539878986"
